clip_index,group,path,file_name,samples,fps,frames,duration,top1_hits,top1_seconds,mean_top1_score,max_top1_score
0,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/A single continuous cinematic shot connecting the exact star.mp4,A single continuous cinematic shot connecting the exact star.mp4,17,24.0,97,4.041666666666667,14,3.5,0.8649253164018903,0.9802635908126831
1,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/A single continuous cinematic transition connecting the exac.mp4,A single continuous cinematic transition connecting the exac.mp4,17,24.0,97,4.041666666666667,16,4.0,0.9307945519685745,0.9887251257896423
2,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/Direct continuation from the supplied last frame_ Same Yoshi.mp4,Direct continuation from the supplied last frame_ Same Yoshi.mp4,21,24.0,121,5.041666666666667,3,0.75,0.32811539123455685,0.4863884747028351
3,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/ONE continuous seamless cinematic shot_ never montage_ cross.mp4,ONE continuous seamless cinematic shot_ never montage_ cross.mp4,21,24.0,121,5.041666666666667,19,4.75,0.956842281316456,0.9863511919975281
4,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/Preserve this exact 6A tail-extension shot_ character identi.mp4,Preserve this exact 6A tail-extension shot_ character identi.mp4,17,24.0,97,4.041666666666667,3,0.75,0.9863189061482748,0.9871693849563599
5,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/Single continuous 5s character-performance shot_ Same Yoshin.mp4,Single continuous 5s character-performance shot_ Same Yoshin.mp4,21,24.0,121,5.041666666666667,17,4.25,0.9755514965337866,0.9821032285690308
6,YOSHINO,work/sources/YOSHINO/RUNWAY吉野/agent_generate_video_edit - Camera pushes forward while arcing toward the front-right of….mp4,agent_generate_video_edit - Camera pushes forward while arcing toward the front-right of….mp4,21,24.0,121,5.041666666666667,0,0.0,,
7,SAKURI,work/sources/SAKURI/RUNWAY/A1 _ one continuous four-second locked-camera interpolation.mp4,A1 _ one continuous four-second locked-camera interpolation.mp4,17,24.0,97,4.041666666666667,0,0.0,,
8,SAKURI,work/sources/SAKURI/RUNWAY/A2 _ direct continuation from the exact extracted frame of t.mp4,A2 _ direct continuation from the exact extracted frame of t.mp4,17,24.0,97,4.041666666666667,0,0.0,,
9,SAKURI,work/sources/SAKURI/RUNWAY/A3 _ direct continuation from the exact extracted near-final.mp4,A3 _ direct continuation from the exact extracted near-final.mp4,17,24.0,97,4.041666666666667,3,0.75,0.9681169986724854,0.9792179465293884
