ref_sample,ref_time,dp_group,top1_group,top1_clip,top1_source_time,top1_score,top2_group,top2_clip,top2_source_time,top2_score,top3_group,top3_clip,top3_source_time,top3_score,top4_group,top4_clip,top4_source_time,top4_score,top5_group,top5_clip,top5_source_time,top5_score,score_YOSHINO,score_SAKURI,score_TSUKUYOMI,score_MOMIJI,score_SETSUKA,score_MAGIC
0,0.0,PRE,MOMIJI,E _ one continuous four-second closing take from the exact s.mp4,2.0,0.2418222874403,MOMIJI,E _ one continuous four-second closing take from the exact s.mp4,1.5,0.22347736358642578,MOMIJI,Repair only the causal arm-to-sleeve pose at this anchor fra.mp4,3.25,0.17078252136707306,MOMIJI,Repair only the sleeve-sweep physics in this exact shot. At_.mp4,3.25,0.15929897129535675,SAKURI,Create one continuous cinematic transition shot connecting t.mp4,1.75,0.14887699484825134,0.08822451531887054,0.14887699484825134,0.10458250343799591,0.2418222874403,0.14272481203079224,0.1195574477314949
1,0.25004544854164124,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,1.5,0.37280136346817017,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,1.5,0.36359238624572754,TSUKUYOMI,Create one continuous 4-second cinematic transition using th.mp4,2.0,0.36214354634284973,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,1.25,0.3607212007045746,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,1.25,0.35924631357192993,0.2718953788280487,0.21210265159606934,0.36214354634284973,0.37280136346817017,0.28502511978149414,0.36359238624572754
2,0.5000908970832825,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,1.5,0.3988518714904785,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,1.75,0.3844257891178131,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,1.25,0.38410982489585876,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,0.75,0.38199424743652344,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,1.5,0.381854772567749,0.28297898173332214,0.22362031042575836,0.362553209066391,0.3988518714904785,0.27993714809417725,0.38410982489585876
3,0.7501363754272461,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,1.75,0.38858023285865784,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,1.5,0.3860641121864319,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,1.25,0.3690539598464966,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,2.0,0.3686104118824005,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,1.5,0.3674624264240265,0.27683398127555847,0.23892828822135925,0.3185803294181824,0.38858023285865784,0.30313849449157715,0.3690539598464966
4,1.000181794166565,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.38068127632141113,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,2.0,0.37861549854278564,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.75,0.357571005821228,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.0,0.35612037777900696,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,0.75,0.35355067253112793,0.2793189585208893,0.28292903304100037,0.29812997579574585,0.38068127632141113,0.29737764596939087,0.37861549854278564
5,1.2502273321151733,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.42409658432006836,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.0,0.39687734842300415,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.0,0.3873331546783447,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,3.5,0.3872162997722626,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.75,0.38720521330833435,0.274899959564209,0.33058977127075195,0.29160991311073303,0.42409658432006836,0.3291661739349365,0.37933284044265747
6,1.5002727508544922,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.44917425513267517,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,3.5,0.41474395990371704,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.0,0.412699818611145,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.0,0.4035576283931732,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.75,0.39643752574920654,0.29205238819122314,0.33935055136680603,0.32559385895729065,0.44917425513267517,0.3443266451358795,0.37544119358062744
7,1.7503182888031006,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.44705697894096375,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.0,0.4331594407558441,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.0,0.42357882857322693,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,3.5,0.4120790362358093,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.75,0.40560799837112427,0.32431015372276306,0.3324783444404602,0.33344587683677673,0.44705697894096375,0.35441070795059204,0.4030008614063263
8,2.00036358833313,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.4693449139595032,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,3.5,0.4371195435523987,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.0,0.4144755005836487,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.41284477710723877,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,2.25,0.41260045766830444,0.3239339292049408,0.32413193583488464,0.3905661404132843,0.4693449139595032,0.3658864200115204,0.4144755005836487
9,2.2504091262817383,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.42870572209358215,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.0,0.4270414710044861,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.25,0.40323516726493835,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,3.5,0.40286266803741455,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",4.25,0.400561660528183,0.32757052779197693,0.3530043363571167,0.38971567153930664,0.42870572209358215,0.39257651567459106,0.4270414710044861
