group,clip_index,file_name,ref_start,ref_end,duration,source_start_median,source_end_median,mean_score,min_score,samples
MOMIJI,39,C1 _ one continuous four-second intimate portrait take from.mp4,0.0,1.000136375427246,1.0,4.0,1.75,0.2959201531484723,0.023447144776582718,4
MOMIJI,55,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.000181794166565,2.7504546642303467,1.75,3.5,3.5,0.4291916149003165,0.38068127632141113,7
MAGIC,82,One continuous five-second portrait shot from the supplied m.mp4,2.750500202178955,3.5005910396575928,0.75,4.0,4.25,0.40171956022580463,0.3291313946247101,3
SETSUKA,73,Use the supplied source clip as the exact motion base and pr.mp4,3.500636577606201,4.750818252563477,1.25,1.5,0.75,0.3911983728408813,0.30716392397880554,5
SETSUKA,64,Create one continuous cinematic 4-second transition using th.mp4,4.750864028930664,5.000864028930664,0.25,3.0,3.0,0.388716459274292,0.388716459274292,1
SETSUKA,73,Use the supplied source clip as the exact motion base and pr.mp4,5.000909328460693,5.250909328460693,0.25,0.75,0.75,0.34651148319244385,0.34651148319244385,1
SETSUKA,64,Create one continuous cinematic 4-second transition using th.mp4,5.250954627990723,5.75100040435791,0.5,3.25,4.0,0.1878377441316843,0.03327019885182381,2
MOMIJI,39,C1 _ one continuous four-second intimate portrait take from.mp4,5.7510457038879395,7.001227378845215,1.25,3.5,3.75,0.3299422860145569,0.26675429940223694,5
MOMIJI,55,"Repair only the smoking gesture. At the anchor frame, move t.mp4",7.001273155212402,7.751363754272461,0.75,0.0,0.5,0.3534831802050273,0.34877049922943115,3
MOMIJI,40,C2 _ one continuous four-second intimate take from the exact.mp4,7.751409530639648,8.25145435333252,0.5,1.0,1.25,0.34954194724559784,0.33605870604515076,2
MOMIJI,55,"Repair only the smoking gesture. At the anchor frame, move t.mp4",8.251500129699707,11.001955032348633,2.75,1.375,1.25,0.3769135542891242,0.07196803390979767,11
TSUKUYOMI,30,Create one continuous 4-second cinematic transition using th (1).mp4,11.00200080871582,12.002137184143066,1.0,2.25,0.0,0.2934594750404358,0.0,4
MAGIC,74,Create one continuous 4-second cinematic ending transition s.mp4,12.002182006835938,15.00268268585205,3.0,1.5,1.5,0.4534212077657382,0.3303511142730713,12
SETSUKA,62,Create a seamless transition from the supplied snowy forest.mp4,15.002727508544922,16.25290870666504,1.25,3.25,3.75,0.3882619678974152,0.2728469669818878,5
MAGIC,82,One continuous five-second portrait shot from the supplied m.mp4,16.252954483032227,17.75318145751953,1.5,4.5,4.5,0.3358857457836469,0.17611543834209442,6
MAGIC,81,One continuous five-second opening shot_ The camera is compl.mp4,17.75322723388672,18.00322723388672,0.25,1.25,1.25,0.05176949501037598,0.05176949501037598,1
SAKURI,22,One continuous four-second repair shot between two adjacent.mp4,18.003273010253906,18.253273010253906,0.25,2.5,2.5,0.3074338436126709,0.3074338436126709,1
SAKURI,12,Bridge 2A_ Create one continuous four-second practical in-ca.mp4,18.253318786621094,18.503318786621094,0.25,1.5,1.5,0.22293256223201752,0.22293256223201752,1
MAGIC,81,One continuous five-second opening shot_ The camera is compl.mp4,18.50336456298828,21.003772735595703,2.5,2.5,5.0,0.468773290514946,0.3062407970428467,10
YOSHINO,2,Direct continuation from the supplied last frame_ Same Yoshi.mp4,21.00381851196289,21.25381851196289,0.25,4.5,4.5,0.3584364354610443,0.3584364354610443,1
MOMIJI,50,Merge the two separate smoke bursts into one single continuo.mp4,21.253864288330078,21.503864288330078,0.25,1.25,1.25,0.3641173839569092,0.3641173839569092,1
MOMIJI,39,C1 _ one continuous four-second intimate portrait take from.mp4,21.503910064697266,21.753910064697266,0.25,1.25,1.25,0.15933504700660706,0.15933504700660706,1
MAGIC,81,One continuous five-second opening shot_ The camera is compl.mp4,21.753955841064453,24.504409790039062,2.75,0.875,1.75,0.4809432029724121,0.3069209158420563,11
YOSHINO,0,A single continuous cinematic shot connecting the exact star.mp4,24.50445556640625,28.005046844482422,3.5,1.5,3.75,0.8692079143864768,0.43994826078414917,14
YOSHINO,5,Single continuous 5s character-performance shot_ Same Yoshin.mp4,28.00509262084961,32.005775451660156,4.0,0.625,3.625,0.975469633936882,0.9561783671379089,16
YOSHINO,4,Preserve this exact 6A tail-extension shot_ character identi.mp4,32.00581741333008,33.00595474243164,1.0,0.0,0.0,0.98361836373806,0.9755167365074158,4
YOSHINO,3,ONE continuous seamless cinematic shot_ never montage_ cross.mp4,33.00600051879883,37.75682067871094,4.75,0.875,4.625,0.956842281316456,0.8687097430229187,19
YOSHINO,1,A single continuous cinematic transition connecting the exac.mp4,37.756866455078125,41.50749969482422,3.75,0.5,3.5,0.9755035003026327,0.9563169479370117,15
SAKURI,23,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,41.507545471191406,51.259273529052734,9.75,0.5,8.0,0.9465671273378226,0.45386797189712524,39
SAKURI,9,A3 _ direct continuation from the exact extracted near-final.mp4,51.25931930541992,51.75936508178711,0.5,3.25,1.25,0.7421703636646271,0.5115227103233337,2
SAKURI,23,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,51.7594108581543,54.759910583496094,3.0,10.0,12.25,0.9912793685992559,0.9148746132850647,12
SAKURI,13,Bridge 2B_ One continuous four-second transition between the.mp4,54.75995635986328,58.010501861572266,3.25,1.0,3.5,0.9971549694354718,0.9926508069038391,13
SAKURI,23,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,58.01054763793945,58.26054763793945,0.25,16.0,16.0,0.9996322393417358,0.9996322393417358,1
SAKURI,27,Single continuous 6-second take_ Begin exactly at the suppli (1).mp4,58.26059341430664,61.76118469238281,3.5,0.5,3.5,0.9555318100111825,0.9293085932731628,14
SAKURI,19,One continuous four-second camera-continuity repair between.mp4,61.76123046875,62.511322021484375,0.75,1.0,3.5,0.9675752520561218,0.9359899163246155,3
SAKURI,23,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,62.5113639831543,76.51386260986328,14.0,18.5,28.375,0.9318870050566537,0.4704153537750244,56
TSUKUYOMI,29,Create one continuous 4-second cinematic transition between.mp4,76.51390838623047,80.76464080810547,4.25,0.375,3.75,0.7545294148080489,0.4405595362186432,17
TSUKUYOMI,34,Single continuous cinematic shot of the exact same adult wom.mp4,80.76468658447266,84.51531982421875,3.75,0.5,3.5,0.9856446226437886,0.9694681763648987,15
TSUKUYOMI,35,Single continuous cinematic shot_ continuing from the suppli.mp4,84.51536560058594,89.76627349853516,5.25,0.5,4.5,0.9891026814778646,0.9602929353713989,21
TSUKUYOMI,33,Single continuous cinematic shot from the supplied start fra.mp4,89.76631927490234,94.76718139648438,5.0,0.75,4.5,0.9977328717708588,0.9965906143188477,20
TSUKUYOMI,32,Single continuous cinematic shot from the supplied start fra (1).mp4,94.76722717285156,99.01795959472656,4.25,0.625,3.875,0.995187100242166,0.9831377267837524,17
TSUKUYOMI,36,Single continuous cinematic transition from the exact suppli.mp4,99.01800537109375,100.2681884765625,1.25,0.5,1.5,0.9604434251785279,0.8893440365791321,5
TSUKUYOMI,30,Create one continuous 4-second cinematic transition using th (1).mp4,100.26823425292969,104.01886749267578,3.75,0.25,3.25,0.9974793314933776,0.9938468337059021,15
MOMIJI,51,One continuous five-second locked-tripod shot_ Keep the came.mp4,104.01891326904297,109.51986694335938,5.5,0.75,4.75,0.9849007671529596,0.8922817707061768,22
MOMIJI,58,agent_generate_video - Cinematic single continuous take_ no cuts_ A woman in an orn_.mp4,109.51991271972656,110.77009582519531,1.25,3.5,5.0,0.6043755114078522,0.28746381402015686,5
MOMIJI,46,E _ one continuous four-second closing take from the exact s.mp4,110.7701416015625,111.0201416015625,0.25,1.25,1.25,0.4481755495071411,0.4481755495071411,1
SAKURI,22,One continuous four-second repair shot between two adjacent.mp4,111.02018737792969,111.27018737792969,0.25,3.25,3.25,0.12172947078943253,0.12172947078943253,1
MOMIJI,47,END E _ one continuous four-second closing transition from t.mp4,111.27023315429688,111.52023315429688,0.25,1.75,1.75,0.4086776077747345,0.4086776077747345,1
