id,group,file_name,path,duration,size,bit_rate,codec,width,height,r_frame_rate,avg_frame_rate,nb_frames,pix_fmt,color_space,color_transfer,color_primaries,color_range,error
1,CITY,14c97c0b-fc05-4a28-a12c-68da1f5c9a4c 4K.mp4,inputs/sources/CITY/runway進城/14c97c0b-fc05-4a28-a12c-68da1f5c9a4c 4K.mp4,2.5,13507840,43225088,h264,3840,2160,24/1,24/1,60,yuv420p,,,,,
2,CITY,Add a restrained ceremonial welcoming layer to this exact 2_.mp4,inputs/sources/CITY/runway進城/Add a restrained ceremonial welcoming layer to this exact 2_.mp4,2.5,3424868,10959577,h264,1920,1080,24/1,24/1,60,yuv420p,,,,,
3,CITY,Add an elegant distant fireworks celebration inside the city.mp4,inputs/sources/CITY/runway進城/Add an elegant distant fireworks celebration inside the city.mp4,2.5,4884662,15630918,h264,1920,1080,24/1,24/1,60,yuv420p,,,,,
4,CITY,Preserve this exact 3.5-second sequence. The supplied origin.mp4,inputs/sources/CITY/runway進城/Preserve this exact 3.5-second sequence. The supplied origin.mp4,3.5,8507658,19446075,h264,1920,1080,24/1,24/1,84,yuv420p,,,,,
5,CITY,"Refine this exact 2.5-second shot with restrained, physicall.mp4","inputs/sources/CITY/runway進城/Refine this exact 2.5-second shot with restrained, physicall.mp4",2.5,6012101,19238723,h264,1920,1080,24/1,24/1,60,yuv420p,,,,,
6,CITY,e16d2f9f-ffdc-4d9f-a325-fc890be5a2c7 4K.mp4,inputs/sources/CITY/runway進城/e16d2f9f-ffdc-4d9f-a325-fc890be5a2c7 4K.mp4,2.5,19561363,62596361,h264,3840,2160,24/1,24/1,60,yuv420p,,,,,
7,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,inputs/sources/MAGIC/runway魔幻/Create one continuous 4-second cinematic ending transition s.mp4,4.041667,4292827,8497141,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
8,MAGIC,Create one continuous five-second repair bridge between the.mp4,inputs/sources/MAGIC/runway魔幻/Create one continuous five-second repair bridge between the.mp4,5.041667,13124245,20825246,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
9,MAGIC,Create one continuous five-second repair bridge for the midd.mp4,inputs/sources/MAGIC/runway魔幻/Create one continuous five-second repair bridge for the midd.mp4,5.041667,18425061,29236458,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
10,MAGIC,Create one continuous five-second repair shot for the look-b.mp4,inputs/sources/MAGIC/runway魔幻/Create one continuous five-second repair shot for the look-b.mp4,5.041667,12795826,20304119,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
